trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.01, 'e': 0.35999999999999943}",20,10,-0.9525505405589925,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.3549999999999994}",30,21,-30.708955487303236,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.3499999999999994}",20,13,2.3882595465620895,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.3449999999999994}",20,3,-42.858595417006164,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.3399999999999994}",35,7,-4.866037704825731,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.3349999999999994}",30,18,-54.10341389251607,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.3299999999999994}",20,14,5.6573621518008395,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.3249999999999994}",25,5,-23.198469345420463,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.3199999999999994}",20,16,8.630214663481146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.3149999999999994}",20,0,-1.2680117375712947,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.3099999999999994}",20,0,-34.26756629683689,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.3049999999999994}",30,1,-28.155957763546336,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.2999999999999994}",20,10,12.972001705109848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2949999999999994}",20,0,-24.10987915549742,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.28999999999999937}",20,7,-54.59887190806427,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.28499999999999936}",20,0,-16.67675640098755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.01, 'e': 0.27999999999999936}",30,0,-2.915704342218418,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.27499999999999936}",20,9,22.223098749523547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.26999999999999935}",20,0,-44.53304453257103,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.26499999999999935}",30,0,-29.883391715754,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
148,False,"{'a': 0.01, 'e': 0.25999999999999934}",20,2,-5.729541399080627,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.25499999999999934}",20,2,-1.910722147673651,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.24999999999999933}",20,7,19.06859951651679,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.24499999999999933}",25,10,30.77604241715118,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.23999999999999932}",30,20,10.64585919708458,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.23499999999999932}",35,20,5.828308408394901,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.22999999999999932}",20,13,3.118767516426879,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.2249999999999993}",25,7,0.5024875864790479,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.2199999999999993}",25,13,-38.694643737950116,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
157,False,"{'a': 0.01, 'e': 0.2149999999999993}",20,9,9.194925635563209,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.2099999999999993}",35,2,-34.20385100150299,"{0: 28, 1: 1, 2: 3, 3: 0, 4: 1}",1
159,False,"{'a': 0.01, 'e': 0.2049999999999993}",20,14,10.858563787482424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.1999999999999993}",20,2,23.81205053228183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.19499999999999929}",20,4,-4.590614480641891,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.18999999999999928}",25,12,22.86132743763752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.18499999999999928}",20,0,21.929630313509907,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.17999999999999927}",25,0,17.29241672004377,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.17499999999999927}",20,12,7.703976240194535,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.16999999999999926}",30,10,5.702271075174846,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.16499999999999926}",20,14,14.357468946884147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.15999999999999925}",25,5,30.731990551807208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.15499999999999925}",25,15,-5.228250049559402,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.14999999999999925}",25,20,10.444817128346017,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.14499999999999924}",25,18,12.747201212249607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.13999999999999924}",25,18,12.736771495805588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.13499999999999923}",25,6,31.217006851522562,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.12999999999999923}",25,0,4.564549442870002,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.12499999999999922}",25,14,-1.3044751531470196,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.11999999999999922}",20,12,13.4255814505763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.11499999999999921}",20,1,31.68532186072987,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.10999999999999921}",20,0,31.124395186164644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.1049999999999992}",30,24,12.024199226810822,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.0999999999999992}",20,0,-39.95432093043967,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
181,False,"{'a': 0.01, 'e': 0.0949999999999992}",20,14,-1.152154795858265,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.08999999999999919}",25,14,19.576789957332092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.08499999999999919}",20,12,15.201905827443774,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.07999999999999918}",25,14,17.87165349331501,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.01, 'e': 0.07499999999999918}",20,16,8.308443686894002,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.06999999999999917}",20,14,11.239019484834259,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.06499999999999917}",20,16,8.306981404249827,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.01, 'e': 0.05999999999999917}",25,12,-11.188872729941265,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.054999999999999175}",30,22,18.618104472536217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.04999999999999918}",30,18,18.085035674793893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.04499999999999918}",20,16,7.171582143227544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.03999999999999918}",20,8,11.639730246608085,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.034999999999999185}",20,11,4.95139341384568,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.029999999999999184}",20,0,33.17549852197256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.01, 'e': 0.024999999999999183}",20,12,11.993700773493977,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.01999999999999918}",30,18,22.0347234604232,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.01499999999999918}",30,16,30.73193114539848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.00999999999999918}",30,13,34.5935344854253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0.00999999999999918}",30,18,23.480764210507985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0.00999999999999918}",20,9,22.844770535453648,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0.00999999999999918}",20,12,14.584618665574634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0.00999999999999918}",25,13,24.572966950625084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0.00999999999999918}",20,8,24.3716917388798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0.00999999999999918}",25,18,13.563608090167827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0.00999999999999918}",20,14,13.230457004334712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0.00999999999999918}",20,12,17.412855607750288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0.00999999999999918}",25,3,38.22607759300199,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0.00999999999999918}",20,8,18.406783493558848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
